fxosaccx,fxosaccy,fxosaccz,lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,a3,a4,a5,f1,f2,timestamp
-716,-552,18732,0,0,0,0,0,0,22784,15777,24875,18181,13450,11281,43,0,10
212,148,16884,0,0,0,0,0,0,15089,19321,22035,23048,17303,19131,41,1,20
-1328,904,20012,0,0,0,0,0,0,21666,21903,17206,24924,28790,21102,41,0,30
2144,-1808,14264,0,0,0,0,0,0,16204,14973,22017,19449,28931,20015,41,1,40
-1028,36,17028,0,0,0,0,0,0,17203,20862,19878,15033,21100,13425,41,0,50
1304,-2140,16312,0,0,0,0,0,0,21375,21568,20763,22909,24097,19070,40,1,60
-20,1352,16204,0,0,0,0,0,0,14907,17136,24878,26916,24996,21065,42,0,70
-300,-668,19696,0,0,0,0,0,0,19280,18992,26689,25138,27897,24069,41,0,80
632,60,19116,0,0,0,0,0,0,18681,20959,18886,21304,28062,26598,41,1,90
-1500,1008,16344,0,0,0,0,0,0,19930,21721,15118,13348,19094,20021,41,0,100
1700,-2076,16296,0,0,0,0,0,0,15238,13603,16999,17015,21103,21069,41,1,110
-628,860,15708,0,0,0,0,0,0,15076,11275,19333,18869,21106,18089,41,0,120
932,-1464,15684,0,0,0,0,0,0,13489,12020,20838,22975,19176,17241,41,1,130
724,1948,17740,0,0,0,0,0,0,12842,18972,24967,15051,23897,23800,41,0,140
-1448,768,17632,0,0,0,0,0,0,20111,17154,25709,18137,25011,24142,40,0,150
644,-756,17336,0,0,0,0,0,0,17787,13015,20168,17081,19105,15380,40,1,160
-716,328,17692,0,0,0,0,0,0,12571,11577,15280,13323,20853,19146,41,0,170
1360,-1232,13616,0,0,0,0,0,0,19121,15213,21021,18923,30635,24094,40,1,180
696,884,17344,0,0,0,0,0,0,19902,18986,19065,20075,28045,19165,40,0,190
264,-1304,17404,0,0,0,0,0,0,16999,9085,15181,15154,21459,21109,40,0,200
28,648,17148,0,0,0,0,0,0,9095,8593,15176,15237,21839,21120,41,1,210
-544,680,19940,0,0,0,0,0,0,14784,17015,23001,19102,24145,17226,41,0,220
1744,-1612,16964,0,0,0,0,0,0,14903,15949,21981,19339,19951,24006,40,1,230
-1076,44,16076,0,0,0,0,0,0,10385,9185,22097,18954,28648,24788,41,0,240
-1532,-2052,16168,0,0,0,0,0,0,7368,8963,24987,23216,25003,27019,40,1,250
860,-916,17372,0,0,0,0,0,0,11171,16858,21005,22743,28647,26045,41,0,260
-668,272,17828,0,0,0,0,0,0,13205,13005,23043,19015,26712,23055,41,0,270
1272,-1328,13780,0,0,0,0,0,0,16689,15790,20118,22911,25011,23818,41,1,280
704,972,17256,0,0,0,0,0,0,9081,7299,17059,18945,27782,26565,40,0,290
-48,-1028,17932,0,0,0,0,0,0,6763,11404,15109,20831,27756,21081,40,1,300
172,380,17164,0,0,0,0,0,0,14041,15251,17325,18128,23819,20946,41,0,310
-836,904,19504,0,0,0,0,0,0,11214,8995,19330,18174,21055,14501,40,0,320
1960,-1764,16136,0,0,0,0,0,0,12857,23148,21084,21108,21061,18240,41,1,330
-836,-112,15580,0,0,0,0,0,0,22869,26607,19303,17037,17509,14156,40,0,340
1168,-1908,16524,0,0,0,0,0,0,22011,19361,16070,20999,20852,19142,40,1,350
348,1184,16140,0,0,0,0,0,0,12480,19904,23208,22020,23151,19086,41,0,360
-492,-300,19084,0,0,0,0,0,0,19292,20999,17481,18138,28662,18039,40,1,370
936,-320,19240,0,0,0,0,0,0,18974,15865,20031,17018,26739,26689,41,0,380
-972,416,14776,0,0,0,0,0,0,16375,11459,15088,11500,26860,27006,40,0,390
1832,-2012,15692,0,0,0,0,0,0,11035,7274,20772,14343,28596,25096,41,1,400
-68,900,17084,0,0,0,0,0,0,11495,15822,23074,20960,27762,23926,40,0,410
308,-1464,16756,0,0,0,0,0,0,17129,9286,26628,23019,23161,19406,40,1,420
1064,1428,18432,0,0,0,0,0,0,12282,15369,22018,19137,26073,15393,40,0,430
-1980,1576,17608,0,0,0,0,0,0,21011,21001,21221,19124,23961,18059,40,0,440
1672,-1832,17376,0,0,0,0,0,0,10993,15471,25887,25915,26028,21180,40,1,450
-288,148,15296,0,0,0,0,0,0,12284,16392,23994,19187,21172,18306,41,0,460
572,-1276,15104,0,0,0,0,0,0,9347,11472,18136,16412,24882,19122,41,1,470
1304,1932,17024,0,0,0,0,0,0,11026,16374,21078,24653,27697,18836,41,0,480
-1364,-68,20816,0,0,0,0,0,0,13918,21874,22794,24072,21001,22153,40,1,490
492,-428,16552,0,0,0,0,0,0,22542,19325,23745,24926,21827,22017,41,0,500
-908,412,19492,0,0,0,0,0,0,16440,16903,23040,23224,21816,21125,41,0,510
1768,-1244,12840,0,0,0,0,0,0,12318,9366,17127,18418,26722,26846,41,1,520
-336,228,17524,0,0,0,0,0,0,7370,10403,20833,22153,29737,26064,41,0,530
588,-1344,17400,0,0,0,0,0,0,12206,14981,24989,21275,23359,17217,41,1,540
84,1008,16076,0,0,0,0,0,0,16701,9314,21957,20025,21353,20121,41,0,550
-912,-8,19376,0,0,0,0,0,0,14396,15255,19367,15503,15559,12368,42,0,560
1456,-744,18860,0,0,0,0,0,0,15036,16818,13293,18167,14283,10511,41,1,570
-1040,452,15408,0,0,0,0,0,0,14192,19735,14306,13221,18255,9620,41,0,580
1732,-2144,16112,0,0,0,0,0,0,19947,14244,17042,19000,17491,12143,42,1,590
-300,1088,17244,0,0,0,0,0,0,18981,17984,16371,19080,17210,17214,41,0,600
364,-1336,17344,0,0,0,0,0,0,22981,25632,17912,20233,23887,19121,40,1,610
1036,1608,18788,0,0,0,0,0,0,18097,13157,21048,18389,26092,18334,40,0,620
-1800,1296,17588,0,0,0,0,0,0,7211,12232,20221,20167,19087,18793,40,0,630
1460,-1512,17680,0,0,0,0,0,0,9224,15054,15152,17909,19892,20106,41,1,640
-712,304,15992,0,0,0,0,0,0,12235,9072,17155,17426,17507,16456,41,0,650
1080,-992,14780,0,0,0,0,0,0,7362,13120,17095,14493,17342,18022,41,1,660
708,1444,17744,0,0,0,0,0,0,9119,10945,17112,15213,17203,19125,41,0,670
-1496,-524,18340,0,0,0,0,0,0,17024,12909,17000,15151,21076,19259,40,1,680
444,272,16936,0,0,0,0,0,0,15856,16310,15186,19063,21842,20139,41,0,690
-1204,1152,20664,0,0,0,0,0,0,20003,16030,14307,12465,24853,22794,40,0,700
2212,-1648,13820,0,0,0,0,0,0,12265,12862,15196,15211,19407,24007,40,1,710
-1112,-224,16808,0,0,0,0,0,0,15877,19259,22765,16977,20837,26583,41,0,720
976,-1964,16672,0,0,0,0,0,0,12193,7394,21078,17098,25824,25999,40,1,730
380,1264,15572,0,0,0,0,0,0,3801,8564,23147,17080,27767,28865,41,0,740
-840,-372,19760,0,0,0,0,0,0,11202,7249,24655,23289,23977,26976,41,0,750
1468,-152,19144,0,0,0,0,0,0,10567,19358,24633,21150,21872,25003,41,1,760
-1064,616,15604,0,0,0,0,0,0,13975,15067,17044,21093,23294,21042,41,0,770
1684,-2260,15980,0,0,0,0,0,0,10332,7078,21719,19097,21292,19154,42,1,780
-44,784,16568,0,0,0,0,0,0,10255,10363,15278,14985,21219,17314,41,0,790
632,-1584,16512,0,0,0,0,0,0,17325,15040,23175,21910,25130,19265,42,1,800
728,1660,17872,0,0,0,0,0,0,17263,19264,17043,17371,22033,17542,41,0,810
-1740,1272,18228,0,0,0,0,0,0,22161,22941,21063,18821,25271,21077,41,0,820
1416,-1088,17064,0,0,0,0,0,0,15058,18846,15559,20031,24979,14464,40,1,830
-568,148,15780,0,0,0,0,0,0,16067,24784,22735,23973,21068,18265,40,0,840
1484,-1332,14208,0,0,0,0,0,0,21955,19379,21209,17053,20081,14429,42,1,850
504,912,17272,0,0,0,0,0,0,11185,19057,18897,21967,24109,12341,41,0,860
-268,-1068,18204,0,0,0,0,0,0,18913,12971,15052,17254,19895,13303,41,0,870
508,328,17412,0,0,0,0,0,0,9184,10156,14137,18118,20067,14228,41,1,880
-996,848,19644,0,0,0,0,0,0,15908,14040,19898,23032,26089,18278,40,0,890
2204,-1768,15516,0,0,0,0,0,0,11445,14264,23856,19187,22180,19181,41,1,900
-824,-260,15644,0,0,0,0,0,0,16013,19064,19206,19111,27609,26526,40,0,910
1128,-1832,16704,0,0,0,0,0,0,20898,21216,24821,25582,27974,25731,40,1,920
368,1032,15996,0,0,0,0,0,0,16109,22951,17110,19057,24954,19137,41,0,930
-676,-256,19300,0,0,0,0,0,0,20853,18676,19013,18404,23291,18295,41,0,940
1436,-248,19136,0,0,0,0,0,0,18695,13230,18409,17026,21105,21098,41,1,950
-916,380,14688,0,0,0,0,0,0,11469,17268,21153,23936,25738,15542,40,0,960
2156,-2056,15716,0,0,0,0,0,0,17019,20966,20067,25718,19911,17022,41,1,970
-320,816,17320,0,0,0,0,0,0,16891,15181,21166,26820,25843,21974,40,0,980
672,-1276,16164,0,0,0,0,0,0,11319,9229,26842,28553,28837,21067,41,0,990
2356,1612,18212,0,0,0,0,0,0,10998,15215,21011,15255,22157,16072,40,1,1000
-508,-296,16272,0,0,0,0,0,0,14142,12409,19035,19035,21074,16346,40,0,1010
520,-1604,17880,0,0,0,0,0,0,8102,12070,21230,19185,20804,20727,39,1,1020
440,564,16628,0,0,0,0,0,0,9225,13944,22089,15356,21465,22805,40,0,1030
-1172,804,20056,0,0,0,0,0,0,13035,16182,20968,15317,20825,24122,40,0,1040
2320,-1248,17916,0,0,0,0,0,0,16069,15210,21784,12463,19115,15411,39,1,1050
